ID,Work Item Type,Title 1,Title 2,Assigned To,State,Tags,Team Project,Stack Rank,Remaining Work,Area ID,Iteration Path,Area Path,Activity
"12","Issue","pobieranie danych ze strony api.nbp.pl",,,"Done",,"ZPI","1999821120",,"2","ZPI\Sprint 1","ZPI",
"32","Task",,"generate corect url to downolad data","Wiktor <Wiktor756@gmail.com>","Done",,"ZPI",,,"2","ZPI\Sprint 1","ZPI",
"4","Issue","choosing system integration",,,"Done",,"ZPI","1999865839",,"2","ZPI\Sprint 1","ZPI",
"5","Task",,"discussion",,"Done",,"ZPI",,,"2","ZPI\Sprint 1","ZPI",
"2","Issue","technical documentation-api",,,"Done",,"ZPI","1999866205",,"2","ZPI\Sprint 1","ZPI",
"8","Task",,"short doc",,"Done",,"ZPI",,,"2","ZPI\Sprint 1","ZPI",
"15","Task",,"technical documentation-api",,"Done",,"ZPI",,,"2","ZPI\Sprint 1","ZPI",
"3","Issue","choice of technology",,,"Done",,"ZPI","1999910559",,"2","ZPI\Sprint 1","ZPI",
"6","Task",,"choosing language",,"Done",,"ZPI",,,"2","ZPI\Sprint 1","ZPI",
"7","Task",,"api-get to know",,"Done",,"ZPI",,,"2","ZPI\Sprint 1","ZPI",
"10","Task",,"json or xml",,"Done",,"ZPI",,,"2","ZPI\Sprint 1","ZPI",
"11","Issue","utowrznie pustego brancha na repo",,,"Done",,"ZPI",,,"2","ZPI\Sprint 1","ZPI",
"13","Task",,"repo",,"Done",,"ZPI",,,"2","ZPI\Sprint 1","ZPI",
"14","Task",,"pobieranie danych ze strony api.nbp.pl",,"Done",,"ZPI",,,"2","ZPI\Sprint 1","ZPI",
